"","y","V1","V2","V3","V4","width","peakdist","frame","file","try","peakNum","mean(width)","max(width)"
"1",228,0.598706252457031,71,1,150,149,NA,2,185,288,2,39.5267857142857,149
"2",229,0.507139839655937,71,1,150,149,NA,2,185,288,2,39.5267857142857,149
"3",230,0.452653833605176,71,1,150,149,NA,2,185,288,2,39.5267857142857,149
"4",231,0.410832662325779,72,1,150,149,NA,2,185,289,2,39.5267857142857,149
"5",232,0.36794147200375,72,1,150,149,NA,2,185,289,2,39.5267857142857,149
"6",233,0.336863333038453,72,11,147,136,NA,2,185,289,2,39.5267857142857,149
"7",234,0.319578101262517,74,1,98,97,NA,2,185,291,2,39.5267857142857,149
"8",235,0.307372604395762,75,1,97,96,NA,2,185,292,2,39.5267857142857,149
"9",236,0.205263599378032,52,1,53,52,NA,2,185,269,1,22.1951219512195,58
"10",236,0.305317888417369,70,53,82,29,18,2,185,287,2,39.5267857142857,149
"11",236,0.280915827016157,85,82,97,15,15,2,185,302,2,39.5267857142857,149
"12",237,0.223291586074203,51,36,54,18,NA,2,185,268,1,22.1951219512195,58
"13",237,0.31296083210949,69,54,81,27,18,2,185,286,2,39.5267857142857,149
"14",237,0.31099916049697,86,81,96,15,17,2,185,303,2,39.5267857142857,149
"15",237,0.211632718039058,101,96,149,53,15,2,185,318,2,39.5267857142857,149
"16",238,0.247503399981654,51,37,55,18,NA,2,185,268,1,22.1951219512195,58
"17",238,0.313439338081874,68,55,81,26,17,2,185,285,2,39.5267857142857,149
"18",238,0.340345618567156,86,81,96,15,18,2,185,303,2,39.5267857142857,149
"19",238,0.232939444757474,101,96,148,52,15,2,185,318,2,39.5267857142857,149
"20",239,0.209435955177955,32,1,37,36,NA,2,185,249,3,30.40625,36
"21",239,0.271440381139473,50,37,55,18,18,2,185,267,1,22.1951219512195,58
"22",239,0.318345003511115,68,55,73,18,18,2,185,285,2,39.5267857142857,149
"23",239,0.301963341768627,76,73,80,7,8,2,185,293,2,39.5267857142857,149
"24",239,0.374703259235456,86,80,96,16,10,2,185,303,2,39.5267857142857,149
"25",239,0.249670457771696,101,96,147,51,15,2,185,318,2,39.5267857142857,149
"26",240,0.226320639494419,32,11,37,26,NA,2,185,249,3,30.40625,36
"27",240,0.283898537615344,50,37,55,18,18,2,185,267,1,22.1951219512195,58
"28",240,0.327149321742009,68,55,74,19,18,2,185,285,2,39.5267857142857,149
"29",240,0.305567785884437,75,74,80,6,7,2,185,292,2,39.5267857142857,149
"30",240,0.40243409156933,86,80,96,16,11,2,185,303,2,39.5267857142857,149
"31",240,0.256900693156634,101,96,148,52,15,2,185,318,2,39.5267857142857,149
"32",241,0.261597884767376,32,10,37,27,NA,2,185,249,3,30.40625,36
"33",241,0.314381586827161,50,37,55,18,18,2,185,267,1,22.1951219512195,58
"34",241,0.34256883791334,68,55,73,18,18,2,185,285,2,39.5267857142857,149
"35",241,0.309163809089903,76,73,80,7,8,2,185,293,2,39.5267857142857,149
"36",241,0.445423144040288,86,80,96,16,10,2,185,303,2,39.5267857142857,149
"37",241,0.267974853465505,101,96,149,53,15,2,185,318,2,39.5267857142857,149
"38",242,0.273000099889045,32,11,37,26,NA,2,185,249,3,30.40625,36
"39",242,0.331277909221482,50,37,56,19,18,2,185,267,1,22.1951219512195,58
"40",242,0.354127312676744,68,56,74,18,18,2,185,285,2,39.5267857142857,149
"41",242,0.310988927253492,76,74,80,6,8,2,185,293,2,39.5267857142857,149
"42",242,0.464742962467543,86,80,96,16,10,2,185,303,2,39.5267857142857,149
"43",242,0.276342864698959,101,96,123,27,15,2,185,318,2,39.5267857142857,149
"44",243,0.288006505187467,32,11,37,26,NA,2,185,249,3,30.40625,36
"45",243,0.360839595870376,50,37,56,19,18,2,185,267,1,22.1951219512195,58
"46",243,0.369153654021164,68,56,74,18,18,2,185,285,2,39.5267857142857,149
"47",243,0.313101702199403,76,74,79,5,8,2,185,293,2,39.5267857142857,149
"48",243,0.501177849217109,86,79,96,17,10,2,185,303,2,39.5267857142857,149
"49",243,0.287938683843837,101,96,122,26,15,2,185,318,2,39.5267857142857,149
