"","x","V1","V2","V3","V4","widthsy","frame","file","peakNum","maxL"
"1",204,0.102074460288787,26,5,28,23,1,282,3,132
"2",204,0.102248189581185,33,28,43,15,1,282,3,132
"3",205,0.106069091197787,25,5,43,38,1,282,3,132
"4",206,0.106148662073147,25,1,43,42,1,282,3,132
"5",207,0.101726388827258,20,2,21,19,1,282,3,132
"6",207,0.102088175583019,25,21,34,13,1,282,3,132
"7",208,0.102164330354812,25,2,34,32,1,282,3,132
"8",208,0.100562548376504,55,48,94,46,1,282,3,132
"9",209,0.100067550459525,22,5,23,18,1,282,3,132
"10",209,0.106182925110731,32,23,41,18,1,282,3,132
"11",209,0.106310118005388,50,41,57,16,1,282,3,132
"12",209,0.101257577342161,63,57,111,54,1,282,3,132
"13",210,0.106142810357143,31,5,41,36,1,282,3,132
"14",210,0.106241542202138,50,41,57,16,1,282,3,132
"15",210,0.101523059751176,62,57,111,54,1,282,3,132
"16",211,0.110073223357481,31,5,41,36,1,282,3,132
"17",211,0.110293492760464,50,41,57,16,1,282,3,132
"18",211,0.102201333940941,62,57,111,54,1,282,3,132
"19",212,0.113953981958574,31,5,41,36,1,282,3,132
"20",212,0.114260086062708,49,41,58,17,1,282,3,132
"21",212,0.10222983823471,62,58,111,53,1,282,3,132
"22",213,0.117454637909144,28,5,41,36,1,282,3,132
"23",213,0.114178844580916,49,41,58,17,1,282,3,132
"24",213,0.103190182145142,61,58,111,53,1,282,3,132
"25",214,0.122539182842025,28,5,41,36,1,282,3,132
"26",214,0.118223905116922,49,41,58,17,1,282,3,132
"27",214,0.103913755818916,61,58,70,12,1,282,3,132
"28",215,0.126200319880942,28,5,41,36,1,282,3,132
"29",215,0.122230635934784,49,41,58,17,1,282,3,132
"30",215,0.10423415295472,61,58,70,12,1,282,3,132
"31",216,0.127567339571645,27,5,41,36,1,282,3,132
"32",216,0.122149606622707,49,41,58,17,1,282,3,132
"33",216,0.105929558560601,60,58,70,12,1,282,3,132
"34",217,0.122226154950095,21,6,28,22,1,282,3,132
"35",217,0.121562031705492,31,28,36,8,1,282,3,132
"36",217,0.133881996761728,47,36,60,24,1,282,3,132
"37",217,0.104280030513999,63,60,102,42,1,282,3,132
"38",218,0.123758402000025,20,6,27,21,1,282,3,132
"39",218,0.121508059278947,29,27,33,6,1,282,3,132
"40",218,0.13787876389911,47,33,60,27,1,282,3,132
"41",218,0.104390748758218,62,60,102,42,1,282,3,132
"42",219,0.126241363993275,21,5,33,28,1,282,3,132
"43",219,0.143119926475933,46,33,102,69,1,282,3,132
"44",220,0.131679412328906,20,5,27,22,1,282,3,132
"45",220,0.129335659352193,28,27,33,6,1,282,3,132
"46",220,0.151438627112221,45,33,102,69,1,282,3,132
"47",221,0.137933984597156,22,4,33,29,1,282,3,132
"48",221,0.158620213815089,44,33,102,69,1,282,3,132
"49",222,0.14189309349739,21,4,34,30,1,282,3,132
"50",222,0.163402030834687,45,34,102,68,1,282,3,132
"51",223,0.145757554074234,22,2,28,26,1,282,3,132
"52",223,0.145098663940751,30,28,36,8,1,282,3,132
"53",223,0.166500307583514,45,36,102,66,1,282,3,132
"54",224,0.145934015628337,21,2,27,25,1,282,3,132
"55",224,0.145132947537817,30,27,36,9,1,282,3,132
"56",224,0.168711327888763,45,36,102,66,1,282,3,132
"57",225,0.15286891820374,20,5,31,26,1,282,3,132
"58",225,0.171812383634427,45,31,122,91,1,282,3,132
"59",226,0.169072915314916,19,5,32,27,1,282,3,132
"60",226,0.173511375269335,45,32,122,90,1,282,3,132
"61",227,0.187975473749808,19,5,31,26,1,282,3,132
"62",227,0.17475688120822,44,31,122,91,1,282,3,132
"63",228,0.219362161695946,18,5,29,24,1,282,3,132
"64",228,0.18130046886006,43,29,122,93,1,282,3,132
"65",229,0.280783737008658,18,5,31,26,1,282,3,132
"66",229,0.190638882189595,42,31,122,91,1,282,3,132
"67",230,0.334693037000129,18,5,32,27,1,282,3,132
"68",230,0.20468999342821,42,32,122,90,1,282,3,132
"69",231,0.330714632516966,18,5,32,27,1,282,3,132
"70",231,0.21708738328024,41,32,122,90,1,282,3,132
"71",232,0.293648346765136,18,4,30,26,1,282,3,132
"72",232,0.223684643325096,41,30,122,92,1,282,3,132
"73",233,0.245305373793082,18,5,33,28,1,282,3,132
"74",233,0.217170073187773,41,33,127,94,1,282,3,132
"75",234,0.231460734463189,19,5,33,28,1,282,3,132
"76",234,0.213310768532201,40,33,127,94,1,282,3,132
"77",235,0.215437282292772,20,5,33,28,1,282,3,132
"78",235,0.208266274207412,40,33,127,94,1,282,3,132
"79",236,0.215036457072983,22,5,33,28,1,282,3,132
"80",236,0.206933503184716,39,33,127,94,1,282,3,132
"81",237,0.224119052980464,21,5,33,28,1,282,3,132
"82",237,0.213378402717073,39,33,127,94,1,282,3,132
"83",238,0.239887314942735,20,5,33,28,1,282,3,132
"84",238,0.222773809868934,39,33,54,21,1,282,3,132
"85",238,0.149518687126182,58,54,127,73,1,282,3,132
"86",239,0.254060464898847,20,5,33,28,1,282,3,132
"87",239,0.234570084661267,38,33,53,20,1,282,3,132
"88",239,0.157530490422372,58,53,127,74,1,282,3,132
"89",240,0.261810678564069,21,5,33,28,1,282,3,132
"90",240,0.241710611448798,38,33,53,20,1,282,3,132
"91",240,0.163143676660054,58,53,127,74,1,282,3,132
"92",241,0.266091194456312,21,6,54,48,1,282,3,132
"93",241,0.173261873047975,60,54,94,40,1,282,3,132
"94",242,0.274043328631725,21,6,29,23,1,282,3,132
"95",242,0.258998543411515,33,29,53,24,1,282,3,132
"96",242,0.181281395861128,59,53,95,42,1,282,3,132
"97",243,0.280941004069422,24,6,30,24,1,282,3,132
"98",243,0.268614375557092,34,30,52,22,1,282,3,132
"99",243,0.189427222710408,59,52,106,54,1,282,3,132
"100",244,0.295920345132794,27,6,52,46,1,282,3,132
"101",244,0.188320450253419,59,52,134,82,1,282,3,132
"102",245,0.343656502702201,29,6,54,48,1,282,3,132
"103",245,0.17604045782182,59,54,136,82,1,282,3,132
"104",246,0.428182028371162,28,6,98,92,1,282,3,132
"105",247,0.643191289238493,29,5,98,93,1,282,3,132
"106",248,0.939654307237405,29,5,98,93,1,282,3,132
"107",249,1.00557984850745,29,5,102,97,1,282,3,132
"108",250,0.987373903672231,29,6,103,97,1,282,3,132
"109",251,0.80604192886,29,6,138,132,1,282,3,132
"110",252,0.58635254139324,30,7,138,131,1,282,3,132
"111",253,0.475569432207185,31,7,138,131,1,282,3,132
"112",254,0.427449407031555,31,8,138,130,1,282,3,132
"113",255,0.405250265664732,31,8,138,130,1,282,3,132
"114",256,0.409428317898235,31,8,138,130,1,282,3,132
"115",257,0.425383859933263,32,8,62,54,1,282,3,132
"116",257,0.156578767057522,65,62,142,80,1,282,3,132
"117",258,0.427680917125553,32,8,62,54,1,282,1,122
"118",258,0.154574251876736,65,62,142,80,1,282,1,122
"119",259,0.427003721411491,34,8,62,54,1,282,1,122
"120",259,0.154288919966544,65,62,76,14,1,282,1,122
"121",259,0.111777989445645,77,76,142,66,1,282,1,122
"122",260,0.438051570072754,34,9,62,53,1,282,1,122
"123",260,0.152537028732835,65,62,76,14,1,282,1,122
"124",260,0.112267528754838,77,76,142,66,1,282,1,122
"125",261,0.454261956319593,33,9,62,53,1,282,1,122
"126",261,0.150532348752255,65,62,76,14,1,282,1,122
"127",261,0.112525316530168,78,76,142,66,1,282,1,122
"128",262,0.520719695214776,33,9,62,53,1,282,1,122
"129",262,0.150150282525874,65,62,75,13,1,282,1,122
